pid,model,price,country_code,country,region,incomegroup,scraped_date
0,iPhone 13,"From A$1,199",au,Australia,East Asia & Pacific,High income,52:06.6
1,iPhone SE,From A$679,au,Australia,East Asia & Pacific,High income,52:06.6
2,iPhone 12,From A$999,au,Australia,East Asia & Pacific,High income,52:06.6
3,AirPods(3rd generation),A$279,au,Australia,East Asia & Pacific,High income,52:06.6
4,AirPods Pro,A$399,au,Australia,East Asia & Pacific,High income,52:06.6
5,AirPods(2nd generation),A$219,au,Australia,East Asia & Pacific,High income,52:06.6
6,AirPods Max,A$899,au,Australia,East Asia & Pacific,High income,52:06.6
7,Apple TV 4K,A$249,au,Australia,East Asia & Pacific,High income,52:06.6
8,Apple Watch SE,From A$429,au,Australia,East Asia & Pacific,High income,52:06.6
9,Apple Watch Series 3,From A$299,au,Australia,East Asia & Pacific,High income,52:06.6
10,Sport Band,A$69,au,Australia,East Asia & Pacific,High income,52:06.6
11,iPad,From A$499,au,Australia,East Asia & Pacific,High income,52:06.6
12,iPad Pro,"From A$1,199",au,Australia,East Asia & Pacific,High income,52:06.6
13,Apple Pencil (2nd generation),A$199,au,Australia,East Asia & Pacific,High income,52:06.6
14,24-inch iMac²,"From A$1,899",au,Australia,East Asia & Pacific,High income,52:06.6
15,MacBook Air,"From A$1,499",au,Australia,East Asia & Pacific,High income,52:06.6
16,Magic Mouse,A$109,au,Australia,East Asia & Pacific,High income,52:06.6
0,iPhone 13,Ab 799 €,at,Austria,Europe & Central Asia,High income,52:07.7
1,iPhone SE,Ab 479 €,at,Austria,Europe & Central Asia,High income,52:07.7
2,iPhone 12,Ab 679 €,at,Austria,Europe & Central Asia,High income,52:07.7
3,AirPods(3. Generation),199 €,at,Austria,Europe & Central Asia,High income,52:07.7
4,AirPods Pro,279 €,at,Austria,Europe & Central Asia,High income,52:07.7
5,AirPods(2. Generation),149 €,at,Austria,Europe & Central Asia,High income,52:07.7
6,AirPods Max,629 €,at,Austria,Europe & Central Asia,High income,52:07.7
7,Apple TV HD,159 €,at,Austria,Europe & Central Asia,High income,52:07.7
8,Apple TV 4K,199 €,at,Austria,Europe & Central Asia,High income,52:07.7
9,Apple Watch SE,Ab 299 €,at,Austria,Europe & Central Asia,High income,52:07.7
10,Apple Watch Series 3,Ab 219 €,at,Austria,Europe & Central Asia,High income,52:07.7
11,Sportarmband,49 €,at,Austria,Europe & Central Asia,High income,52:07.7
12,iPad,Ab 379 €,at,Austria,Europe & Central Asia,High income,52:07.7
13,iPad Pro,Ab 879 €,at,Austria,Europe & Central Asia,High income,52:07.7
14,Apple Pencil (2. Generation),135 €,at,Austria,Europe & Central Asia,High income,52:07.7
15,"24"" iMac²",Ab 1.449 €,at,Austria,Europe & Central Asia,High income,52:07.7
16,MacBook Air,Ab 1.129 €,at,Austria,Europe & Central Asia,High income,52:07.7
17,Magic Mouse,85 €,at,Austria,Europe & Central Asia,High income,52:07.7
0,iPhone 13,A partir de R$ 6.599,br,Brazil,Latin America & Caribbean,Upper middle income,52:09.3
1,iPhone SE,A partir de R$ 3.699,br,Brazil,Latin America & Caribbean,Upper middle income,52:09.3
2,iPhone 12,A partir de R$ 5.699,br,Brazil,Latin America & Caribbean,Upper middle income,52:09.3
3,AirPods Pro,R$ 2.999,br,Brazil,Latin America & Caribbean,Upper middle income,52:09.3
4,AirPods(2ª geração),R$ 1.649,br,Brazil,Latin America & Caribbean,Upper middle income,52:09.3
5,Apple TV HD,R$ 1.999,br,Brazil,Latin America & Caribbean,Upper middle income,52:09.3
6,Apple TV 4K,R$ 2.399,br,Brazil,Latin America & Caribbean,Upper middle income,52:09.3
7,Apple Watch SE,A partir de R$ 3.799,br,Brazil,Latin America & Caribbean,Upper middle income,52:09.3
8,Apple Watch Series 3,A partir de R$ 2.599,br,Brazil,Latin America & Caribbean,Upper middle income,52:09.3
9,Pulseira esportiva,R$ 549,br,Brazil,Latin America & Caribbean,Upper middle income,52:09.3
10,iPad,A partir de R$ 3.999,br,Brazil,Latin America & Caribbean,Upper middle income,52:09.3
11,iPad Pro,A partir de R$ 10.799,br,Brazil,Latin America & Caribbean,Upper middle income,52:09.3
12,Apple Pencil (2ª geração),R$ 1.599,br,Brazil,Latin America & Caribbean,Upper middle income,52:09.3
13,iMac de 24 polegadas²,A partir de R$ 17.599,br,Brazil,Latin America & Caribbean,Upper middle income,52:09.3
14,MacBook Air,A partir de R$ 12.999,br,Brazil,Latin America & Caribbean,Upper middle income,52:09.3
15,Magic Mouse,R$ 899,br,Brazil,Latin America & Caribbean,Upper middle income,52:09.3
0,iPhone 13,From $949,ca,Canada,North America,High income,52:10.4
1,iPhone SE,From $569,ca,Canada,North America,High income,52:10.4
2,iPhone 12,From $799,ca,Canada,North America,High income,52:10.4
3,AirPods(3rd generation),$239 ,ca,Canada,North America,High income,52:10.4
4,AirPods Pro,$329 ,ca,Canada,North America,High income,52:10.4
