prod_name,category,price,Rating,webiste
The Lost Book of Herbal Remedies,book,37,4.8,ebay
Paper clips,office supplies,13.99,4,ebay
"Heartstopper, Volume 1",book,21.95,5,ebay
Holy Bible: King James Version (Barnes & Noble Collectible Editions),book,31.5,5,ebay
Vita coco coconut water,beverages,13.76,4.6,ebay
"Run, Rose, Run : A Novel",book,14,4.8,ebay
61 key portable piano,musical instruments,121.99,4.9,ebay
Bridgerton: The Duke and I,book,5.61,5,ebay
Perrier carbonated mineral water,water,25.65,4.8,ebay
"Children's Health Defense Ser.: The Real Anthony Fauci : Big Pharma's Global War on Democracy, Humanity, and Public Health",book,17,4.9,ebay
Yamaha 325D accoustic guitar,musical instruments,169.99,4.6,ebay
Animal Farm and 1984,book,9.49,4.9,ebay
The Witcher Boxed Set,book,77.12,4.4,ebay
Swingline office stapler,office supplies,7.99,4.2,ebay
Rich Dad Poor Dad : What the Rich Teach Their Kids about Money That the Poor and Middle Class Do Not!,book,9.68,4.9,ebay
"Laptop from Hell : Hunter Biden, Big Tech, and the Dirty Secrets the President Tried to Hide",book,15.99,4.9,ebay
Poland Spring Zesty Lime,water,11,4.7,ebay
The KJV Bible,book,24.18,4.7,ebay
It Ends with Us : A Novel,book,11.5,4.8,ebay
Everywhere Babies,book,8.64,5,ebay
Welcome to the Universe In 3D : A Visual Tour,book,28.14,5,ebay
,book,8.36,4.8,ebay
Donner concert ukulele,musical instruments,59.49,5,ebay
Poland Spring Simply Bubbles,water,11,4.5,ebay
The Creature from Jekyll Island,book,26.95,4.9,ebay
The Blackman's Guide to Understanding the Blackwoman,book,25,4.9,ebay
A Guide Book of United States Paper Money,book,20.25,4.7,ebay
Concise 48 Laws of Power,book,8.63,4.7,ebay
Behold a Pale Horse,book,19.06,4.7,ebay
The 48 Laws of Power,book,15.52,4.9,ebay
Marker,office supplies,15,4.4,ebay
